"","subj","rt_log","valenceE","t1","t2"
"775",29,6.69,0.5,1,0
"776",29,6.79,0.5,1,0
"777",29,7.32,0.5,1,0
"778",29,6.69,0.5,1,0
"779",29,6.53,0.5,1,0
"780",29,7.63,0.5,1,0
"781",29,7.05,0.5,1,0
"782",29,6.67,0.5,1,0
"783",29,7,0.5,1,0
"784",29,7.32,0.5,1,0
"785",29,8.46,0.5,1,0
"786",29,7.04,0.5,1,0
"787",29,7.86,0.5,1,0
"788",29,7.18,0.5,1,0
"789",29,6.53,0.5,1,0
"790",29,6.79,0.5,0,1
"791",29,6.68,0.5,0,1
"792",29,6.53,0.5,0,1
"793",29,6.69,0.5,0,1
"794",29,6.88,0.5,0,1
"795",29,6.6,0.5,0,1
"796",29,6.78,0.5,0,1
"797",29,6.84,0.5,0,1
"798",29,7.16,0.5,0,1
"799",29,6.87,0.5,0,1
"800",29,6.86,0.5,0,1
